"name","NumRecords","NumOuro","NumPrata","NumBronze"
"MONUMENTO NATURAL MORRO DA LADEIRA",0,0,0,0
"PARQUE ESTADUAL BACANGA",390,390,0,0
"PARQUE ESTADUAL MARINHO BANCO DO ÁLVARO",0,0,0,0
"PARQUE ESTADUAL MARINHO BANCO DO TAROL",0,0,0,0
"PARQUE ESTADUAL MARINHO DO PARCEL DE MANUEL LUÍS",0,0,0,0
"PARQUE ESTADUAL MIRADOR",6664,6664,0,0
"PARQUE ESTADUAL SÍTIO DO RANGEDOR",652,652,0,0
"PARQUE NACIONAL CHAPADA DAS MESAS",3195,3195,0,0
"PARQUE NACIONAL LENÇÓIS MARANHENSES",650,650,0,0
"PARQUE NATURAL MUNICIPAL RIACHO ESTRELA",0,0,0,0
"RESERVA BIOLÓGICA GURUPI",1164,1164,0,0
"RESERVA EXTRATIVISTA ARAPIRANGA-TROMAÍ",0,0,0,0
"RESERVA EXTRATIVISTA BAÍA DO TUBARÃO",0,0,0,0
"RESERVA EXTRATIVISTA CHAPADA LIMPA",124,124,0,0
"RESERVA EXTRATIVISTA CIRIACO",101,101,0,0
"RESERVA EXTRATIVISTA CURURUPU",0,0,0,0
"RESERVA EXTRATIVISTA ITAPETININGA",0,0,0,0
"RESERVA EXTRATIVISTA MATA GRANDE",0,0,0,0
"RESERVA EXTRATIVISTA QUILOMBO FLEXAL",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL AMOREIRA",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTÂNCIA PEDREIRAS",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTIVA",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA BOA ESPERANÇA",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA CHAPADÕES",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA PANTANAL",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA SANTO ANTONIO DO PINDARÉ",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA SÃO FRANCISCO",79,79,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA SÃO JOSÉ",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ILHA DO CAJU",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL JAGUAREMA",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PRATA",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO JAQUAREMA",0,0,0,0
