"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"PARQUE ESTADUAL CUNHAMBEBE","Angiosperms","Sapindaceae","Allophylus","petiolulatus","Radlk.","SAPINDACEAE Allophylus petiolulatus Radlk.","R010079506",,"R","Viana, J.G.G.","10","Native","2022","Somner, G.V.",,"Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/herbariumr/r/1/0/79/50/6/r010079506.jpg","Rio Claro","Lídice. Trilha para o Pico da Pedra Chata, espécime antes da placa de bifurcação entre as trilhas Pedra Chata e Papagaio. Parque Estadual Cunhambebe"
"PARQUE ESTADUAL CUNHAMBEBE","Angiosperms","Sapindaceae","Allophylus","racemosus","Sw.","SAPINDACEAE Allophylus racemosus Sw.","R010079552",,"R","Viana, J.G.G.","16","Native","2022","Somner, G.V.",,"Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/herbariumr/r/1/0/79/55/2/r010079552.jpg","Rio Claro","Lídice. Coleta feita em mata ao lado do eremitério, local onde incia-se a trilha da Pedra Chata. Parque Estadual Cunhambebe"
"PARQUE ESTADUAL CUNHAMBEBE","Angiosperms","Sapindaceae","Cupania","oblongifolia","Mart.","SAPINDACEAE Cupania oblongifolia Mart.","R010080262",,"R","Viana, J.G.G.","6","Native","2022","Somner, G.V.",,"Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/herbariumr/r/1/0/80/26/2/r010080262.jpg","Rio Claro","Lídice. Na trilha do Pico da Pedra Chata, logo após o inicio da vegetação arboreo depois da área de pastagem, ao lado do primerio córrego com uma pedra gigante ao lado. Parque Estadual Cunhambebe"
"PARQUE ESTADUAL CUNHAMBEBE","Angiosperms","Sapindaceae","Cupania","racemosa","(Vell.) Radlk.","SAPINDACEAE Cupania racemosa (Vell.) Radlk.","R010079553",,"R","Viana, J.G.G.","20","Native","2022","Somner, G.V.",,"Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/herbariumr/r/1/0/79/55/3/r010079553.jpg","Rio Claro","Lídice. Em área aberta, estágio inicial de sucessão ecológica, na trila da casa dos Quilombos. Parque Estadual Cunhambebe"
"PARQUE ESTADUAL CUNHAMBEBE","Angiosperms","Sapindaceae","Paullinia","meliifolia","Juss.","SAPINDACEAE Paullinia meliifolia Juss.","R010079544",,"R","Viana, J.G.G.","15","Native","2022","Somner, G.V.",,"Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/herbariumr/r/1/0/79/54/4/r010079544.jpg","Mangaratiba","Reserva Rio das Pedras, espécime na trilha do corisquinho após a placa de divisa entre Corisquinho e Cambucá. Parque Estadual Cunhambebe"
"PARQUE ESTADUAL CUNHAMBEBE","Angiosperms","Sapindaceae","Serjania","caracasana","(Jacq.) Willd.","SAPINDACEAE Serjania caracasana (Jacq.) Willd.","R010080259",,"R","Viana, J.G.G.","2","Native","2022","Somner, G.V.",,"Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/herbariumr/r/1/0/80/25/9/r010080259.jpg","Mangaratiba","Reserva ecológica de Rio das Pedras, em frente ao Club Med, o espécime estava na trilha das bromélias. Parque Estadual Cunhambebe"
"PARQUE ESTADUAL CUNHAMBEBE","Angiosperms","Sapindaceae","Serjania","communis","Cambess.","SAPINDACEAE Serjania communis Cambess.","R010079513",,"R","Viana, J.G.G.","12","Native","2022","Somner, G.V.",,"Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/herbariumr/r/1/0/79/51/3/r010079513.jpg","Rio Claro","Lídice. Trilha para o Pico da Pedra Chata, ao lado do eremitério onde se inicia a trilha. Parque Estadual Cunhambebe"
"PARQUE ESTADUAL CUNHAMBEBE","Angiosperms","Sapindaceae","Serjania","deflexa","Gardner","SAPINDACEAE Serjania deflexa Gardner","R010079509",,"R","Viana, J.G.G.","11","Native","2022","Somner, G.V.",,"Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/herbariumr/r/1/0/79/50/9/r010079509.jpg","Rio Claro","Lídice. Em área aberta, estágio inicial de sucessão ecológica, na trila da casa dos Quilombos. Parque Estadual Cunhambebe"
"PARQUE ESTADUAL CUNHAMBEBE","Angiosperms","Sapindaceae","Serjania","tenuis","Radlk.","SAPINDACEAE Serjania tenuis Radlk.","R010080254",,"R","Viana, J.G.G.","4","Native","2022","Somner, G.V.",,"Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/herbariumr/r/1/0/80/25/4/r010080254.jpg","Mangaratiba","Reserva ecológica de Rio das Pedras, em frente ao Club Med, o espécime estava na trilha das bromélias. Parque Estadual Cunhambebe"
"PARQUE ESTADUAL CUNHAMBEBE","Ferns and Lycophytes","Sapindaceae","Urvillea","stipitata","Radlk.","SAPINDACEAE Urvillea stipitata Radlk.","R010079546",,"R","Viana, J.G.G.","22","Native","2022","Somner, G.V.",,"Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/herbariumr/r/1/0/79/54/6/r010079546.jpg","Mangaratiba","Reserva Rio das Pedras, espécime na trilha do corisquinho após a placa de divisa entre Corisquinho e Cambucá. Parque Estadual Cunhambebe"
"PARQUE ESTADUAL CUNHAMBEBE","Angiosperms","Sapindaceae","Serjania","confertiflora","Radlk.","SAPINDACEAE Serjania confertiflora Radlk.","R010079586",,"R","Viana, J.G.G.","5","Native","2021","Somner, G.V.",,"Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/herbariumr/r/1/0/79/58/6/r010079586.jpg","Mangaratiba","Reserva ecológica de Rio das Pedras, em frente ao Club Med, o espécime estava ao lado dos dormitóriso que ficam no lado esquerdo antes do pórtico de início da trilha principal. Parque Estadual Cunhambebe"
"PARQUE ESTADUAL CUNHAMBEBE","Angiosperms","Sapindaceae","Serjania","meridionalis","Cambess.","SAPINDACEAE Serjania meridionalis Cambess.","R010080257",,"R","Viana, J.G.G.","8","Native","2021","Somner, G.V.",,"Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/herbariumr/r/1/0/80/25/7/r010080257.jpg","Mangaratiba","Reserva ecológica de Rio das Pedras, em frente ao Club Med, o espécime estava ao lado dos dormitóriso que ficam no lado esquerdo antes do pórtico de início da trilha principal. Parque Estadual Cunhambebe"
"PARQUE ESTADUAL CUNHAMBEBE","Angiosperms","Acanthaceae","Justicia","beyrichii","(Nees) Lindau","ACANTHACEAE Justicia beyrichii (Nees) Lindau","RBR00056908",,"RBR","Braz, D.M.","700","Native","2020","Braz, D.M.","2022","Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rbr/rbr/0/5/69/8/rbr00056908.jpg",,"Sahy. Floresta Ombrófila. Trilha ao lado lado da sede do Parque Estadual Cunhambebe. Parque Estadual Cunhambebe"
